"","V1","V2","V3","V4","V5","V6","V7"
"2","1","1","1","1","1","2","unacc"
"3","1","1","1","1","1","3","unacc"
"4","1","1","1","1","2","1","unacc"
"5","1","1","1","1","2","2","unacc"
"7","1","1","1","1","3","1","unacc"
"8","1","1","1","1","3","2","unacc"
"10","1","1","1","2","1","1","unacc"
"11","1","1","1","2","1","2","unacc"
"15","1","1","1","2","2","3","unacc"
"16","1","1","1","2","3","1","unacc"
"17","1","1","1","2","3","2","unacc"
"18","1","1","1","2","3","3","unacc"
"19","1","1","1","3","1","1","unacc"
"20","1","1","1","3","1","2","unacc"
"21","1","1","1","3","1","3","unacc"
"22","1","1","1","3","2","1","unacc"
"23","1","1","1","3","2","2","unacc"
"24","1","1","1","3","2","3","unacc"
"26","1","1","1","3","3","2","unacc"
"27","1","1","1","3","3","3","unacc"
"28","1","1","2","1","1","1","unacc"
"29","1","1","2","1","1","2","unacc"
"30","1","1","2","1","1","3","unacc"
"32","1","1","2","1","2","2","unacc"
"33","1","1","2","1","2","3","unacc"
"34","1","1","2","1","3","1","unacc"
"35","1","1","2","1","3","2","unacc"
"37","1","1","2","2","1","1","unacc"
"38","1","1","2","2","1","2","unacc"
"40","1","1","2","2","2","1","unacc"
"43","1","1","2","2","3","1","unacc"
"44","1","1","2","2","3","2","unacc"
"45","1","1","2","2","3","3","unacc"
"46","1","1","2","3","1","1","unacc"
"47","1","1","2","3","1","2","unacc"
"48","1","1","2","3","1","3","unacc"
"49","1","1","2","3","2","1","unacc"
"50","1","1","2","3","2","2","unacc"
"51","1","1","2","3","2","3","unacc"
"53","1","1","2","3","3","2","unacc"
"54","1","1","2","3","3","3","unacc"
"56","1","1","3","1","1","2","unacc"
"58","1","1","3","1","2","1","unacc"
"60","1","1","3","1","2","3","unacc"
"61","1","1","3","1","3","1","unacc"
"62","1","1","3","1","3","2","unacc"
"64","1","1","3","2","1","1","unacc"
"65","1","1","3","2","1","2","unacc"
"67","1","1","3","2","2","1","unacc"
"68","1","1","3","2","2","2","unacc"
"69","1","1","3","2","2","3","unacc"
"70","1","1","3","2","3","1","unacc"
"71","1","1","3","2","3","2","unacc"
"72","1","1","3","2","3","3","unacc"
"73","1","1","3","3","1","1","unacc"
"74","1","1","3","3","1","2","unacc"
"75","1","1","3","3","1","3","unacc"
"77","1","1","3","3","2","2","unacc"
"80","1","1","3","3","3","2","unacc"
"81","1","1","3","3","3","3","unacc"
"82","1","1","4","1","1","1","unacc"
"83","1","1","4","1","1","2","unacc"
"84","1","1","4","1","1","3","unacc"
"85","1","1","4","1","2","1","unacc"
"86","1","1","4","1","2","2","unacc"
"87","1","1","4","1","2","3","unacc"
"90","1","1","4","1","3","3","unacc"
"91","1","1","4","2","1","1","unacc"
"93","1","1","4","2","1","3","unacc"
"94","1","1","4","2","2","1","unacc"
"95","1","1","4","2","2","2","unacc"
"96","1","1","4","2","2","3","unacc"
"97","1","1","4","2","3","1","unacc"
"98","1","1","4","2","3","2","unacc"
"99","1","1","4","2","3","3","unacc"
"100","1","1","4","3","1","1","unacc"
"101","1","1","4","3","1","2","unacc"
"103","1","1","4","3","2","1","unacc"
"104","1","1","4","3","2","2","unacc"
"105","1","1","4","3","2","3","unacc"
"106","1","1","4","3","3","1","unacc"
"107","1","1","4","3","3","2","unacc"
"108","1","1","4","3","3","3","unacc"
"109","1","2","1","1","1","1","unacc"
"110","1","2","1","1","1","2","unacc"
"111","1","2","1","1","1","3","unacc"
"112","1","2","1","1","2","1","unacc"
"113","1","2","1","1","2","2","unacc"
"114","1","2","1","1","2","3","unacc"
"115","1","2","1","1","3","1","unacc"
"116","1","2","1","1","3","2","unacc"
"117","1","2","1","1","3","3","unacc"
"118","1","2","1","2","1","1","unacc"
"119","1","2","1","2","1","2","unacc"
"121","1","2","1","2","2","1","unacc"
"122","1","2","1","2","2","2","unacc"
"123","1","2","1","2","2","3","unacc"
"124","1","2","1","2","3","1","unacc"
